County,Poverty_Estimate,Poverty_Percent,Median_Household_Income,Population,Unemployment_Rate,Total_Crime
Navarro County,9739,20.0,46259,50113,3.7,334.0
Newton County,2898,22.3,43367,13595,6.7,131.0
Nolan County,2615,18.2,42522,14714,3.3,25.0
Nueces County,57694,16.2,53034,362294,4.6,329.0
Ochiltree County,1040,10.5,49845,9836,2.8,32.0
Oldham County,245,13.0,56590,2112,2.6,8.0
Orange County,11101,13.4,56556,83396,5.7,611.0
Palo Pinto County,4529,15.9,46067,29189,3.3,102.0
Panola County,3578,15.7,51192,23194,4.1,
Parker County,11289,8.3,73718,142878,3.1,961.0
Parmer County,1325,13.5,50539,9605,2.3,16.0
Pecos County,2650,19.5,47008,15823,3.6,91.0
Polk County,6834,15.0,46017,51353,5.0,591.0
Potter County,22262,19.7,41912,117415,2.9,228.0
Presidio County,1557,22.4,37738,6704,6.9,3.0
Rains County,1752,14.5,47572,12514,3.5,120.0
Randall County,11343,8.5,69600,137713,2.6,302.0
Reagan County,371,10.0,65273,3849,2.5,66.0
Real County,616,18.1,39506,3452,5.0,50.0
Red River County,2185,18.2,42233,12023,5.4,58.0
Reeves County,2693,21.5,45341,15976,2.1,111.0
Refugio County,1125,16.3,44821,6948,4.6,56.0
Roberts County,70,7.8,67470,854,2.8,7.0
Robertson County,2699,15.8,44917,17074,4.1,92.0
Rockwall County,5125,5.1,102858,104915,3.2,123.0
Runnels County,1692,16.9,42205,10264,3.1,16.0
Rusk County,7900,16.4,49788,54406,4.0,601.0
Sabine County,1845,17.6,40641,10542,7.9,162.0
San Augustine County,1777,22.2,38826,8237,6.4,73.0
San Jacinto County,4981,17.5,47028,28859,4.9,402.0
San Patricio County,11425,17.3,53559,66730,6.3,299.0
San Saba County,896,16.8,43827,6055,3.0,42.0
Schleicher County,476,16.5,47317,2793,2.8,27.0
Scurry County,2408,15.8,53059,16703,3.4,34.0
Shackelford County,432,13.4,57126,3265,2.3,
Shelby County,5173,20.6,41961,25274,4.3,
Sherman County,368,12.1,57052,3022,2.6,5.0
Smith County,33744,15.0,56848,232751,3.6,1617.0
Somervell County,854,9.7,63929,9128,4.1,40.0
Starr County,21151,33.2,30490,64633,10.0,221.0
Stephens County,1696,19.4,43115,9366,3.6,47.0
Sterling County,161,12.6,59064,1291,3.3,5.0
Stonewall County,194,14.6,46915,1350,3.4,7.0
Sutton County,531,14.2,54774,3776,3.8,2.0
Swisher County,1312,19.2,43084,7397,4.3,8.0
Tarrant County,248032,12.1,66059,2102515,3.5,837.0
Taylor County,21301,16.0,48040,138034,3.1,142.0
Terrell County,155,18.9,41413,776,3.4,
Terry County,2529,22.4,41268,12337,4.1,
Throckmorton County,217,14.3,42701,1501,3.3,9.0
Titus County,6035,18.6,45604,32750,5.0,229.0
Tom Green County,17558,15.5,51393,119200,3.1,280.0
Travis County,146724,12.0,76255,1273954,2.8,3927.0
Trinity County,2581,17.7,40486,14651,5.1,185.0
Tyler County,3584,18.2,44041,21672,6.6,321.0
Upshur County,6455,15.9,48554,41753,4.2,309.0
Upton County,512,14.2,53867,3657,3.4,19.0
Uvalde County,5999,22.9,39725,26741,4.2,102.0
Val Verde County,8950,18.9,44276,49025,3.8,129.0
Van Zandt County,8598,15.6,51152,56590,3.5,157.0
Victoria County,13855,15.4,51646,92084,3.8,449.0
Walker County,14525,26.1,43681,72971,4.2,276.0
Waller County,7776,15.9,59807,55246,4.2,420.0
Ward County,1611,13.9,53621,11998,2.5,189.0
Washington County,4566,13.8,54332,35882,3.6,129.0
Webb County,69860,25.7,44919,276652,3.7,321.0
Wharton County,6909,16.8,48040,41556,3.7,298.0
Wheeler County,721,14.0,48018,5056,3.1,31.0
Wichita County,21221,17.8,47477,132230,3.4,171.0
Wilbarger County,1905,15.3,44735,12769,4.1,19.0
Willacy County,6369,35.0,33171,21358,9.8,258.0
Williamson County,35829,6.4,87817,590551,3.0,1589.0
Wilson County,5400,10.9,71207,51070,3.1,203.0
Winkler County,1069,14.1,56781,8010,2.8,71.0
Wise County,6643,9.9,66387,69984,3.4,461.0
Wood County,6625,15.3,48384,45539,4.2,274.0
Yoakum County,1028,12.1,61560,8713,2.9,35.0
Young County,2468,13.9,49301,18010,3.2,47.0
Zapata County,4529,32.1,33160,14179,5.5,209.0
Zavala County,3701,32.0,30076,11840,9.6,44.0
